ASVs	Domain	Phylum	Class	Order	Family	Genus	Species
0147974719339a926c809f166d833a85	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	uncultured_bacterium
0151554d89275596d718e082dc244a2d	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env_OPS_17	uncultured_bacterium	
00e8dcefe8ed58803503d76b95909d49	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	TRA3_20	uncultured_bacterium	
011e050dc5dda4bbd8dcd754709882a6	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30_KF_CM45	uncultured_bacterium	
013bff9341b7ce2e95491b73250d64d6	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	uncultured_bacterium	
00b7f7720c96206524210f8104c641d5	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Tahibacter	
01674d03d1c60afd370c074c86e7866a	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b		
01300d419a2c76f4e42a13811fa2e4d7	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	uncultured_bacterium	
01598cacb8a69691fe6bc6517c723a8b	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Candidatus_Actinomarina	uncultured_bacterium
0160d1054c739f653866e89c47918ba7	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella	
01496047c7630d2265a8de1ab22c85af	Bacteria	Acidobacteriota	Subgroup_22	uncultured_bacterium			
0154cace9a9ecd061b7eb7a985f10c97	Bacteria	Gemmatimonadota	S0134_terrestrial_group	uncultured_bacterium			
011af143074e5f966e830fdee2ff9875	Bacteria	Latescibacterota					
0165b866f61293d4513668409149b506	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Xiphinematobacteraceae	Candidatus_Xiphinematobacter	uncultured_bacterium
013c2e28ddf6438e322e5d1e5b46adac	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus	uncultured_bacterium
01526b87acde3ade3eec26fdac72744d	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_1	
017f760001a97d7d44579da0930fb37b	Bacteria	Elusimicrobiota	Lineage_IIb	uncultured_bacterium			
01757ba1b8c5f64de56af67668a176dc	Bacteria	Bacteroidota	SJA_28	uncultured_bacterium			
0144308afd1e9e8db4171a10c8112c8a	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB_42	
0147d64aa92332ae7dadbd6f6bd7a33d	Bacteria	Latescibacterota	uncultured_bacterium				
0146bd0e0cd85e520ee2e1817661c596	Bacteria	Firmicutes	Clostridia	Hungateiclostridiaceae			
0108a9b95cbb58c09d87b5005e2f65ff	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Candidatus_Ovatusbacter	uncultured_bacterium
017e1a1e2dd959a999c1794a6eb43800	Bacteria	Chloroflexi	Anaerolineae	SBR1031	uncultured_bacterium		
0171e2a32cabc237dd077e42255791db	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	uncultured	metagenome
01704f94085882ee5ef9c2ef98601ced	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	uncultured	
0189b01b11111fcc5ba55f2635a21876	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_bacterium
015bae277983f8177418ccb222d6bccc	Bacteria	Myxococcota	Polyangia				
01874f3a21061b035a2b7b2e62340e5d	Bacteria	Armatimonadota	Chthonomonadetes	Chthonomonadales	uncultured_bacterium		
01a0cbe7f7aef4c42b415954d66c3445	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	uncultured_bacterium		
0116adb354b749476297861ee137b2e9	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Ellin6067	uncultured_bacterium
017b1e51a51fa410e27abbee363352f5	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
01581100618b927f54d2fc8937ffe1e6	Bacteria	Firmicutes	Incertae_Sedis	DTU014			
01996ee0a1088533a822743c0f32037a	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	uncultured	
015e518d5a0f6a81f985d32c5220e1a3	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB_42	
019b0bcd76d90b50ddaba51caeac0612	Bacteria	Cyanobacteria	Sericytochromatia	uncultured_bacterium			
01a0529d16e9ef6fef400e3c5e551bb8	Unassigned						
019c70479366f89a0a93278b47500844	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	
0180f3bdd17399e2692523c2d6118574	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae		
0197c2fe529e73570c944bdb2b20a66b	Bacteria	Armatimonadota	uncultured				
0186ae6fd02d5db2ef7a4276ed9d6cf2	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	
0172345631ba013bcc4c57ab7292827d	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_sp_in_Bacteria_
01b41ced340fdef9c05aa739a0073fbf	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
019d29e2722321c7e92674b3ebf45928	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env_OPS_17		
01ad12f2bbcc7e5c787d54c9394d06ca	Bacteria	Nitrospirota	4_29_1	uncultured_bacterium			
01ab8592c20b781b4cbf5e3df6b1c319	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	uncultured	uncultured_bacterium
00cc783d4b22041bceb0ffd1acbef469	Bacteria						
01ab7d26eafa6d1b2ee03979289e25f3	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	uncultured	uncultured_bacterium
01c2785d0d4356d0c24423ce51ac3799	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	uncultured	uncultured_bacterium	
017fc38adb69c7f0d6df8fcf7ca842fd	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured	
019966a1d0785db663f2344f56f4b1d4	Bacteria	Planctomycetota	OM190	uncultured_bacterium			
01dab47643a41c5624a9094e569fbbc6	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast			
0169a0d85902301c3eb3f7b4cb0b7aa5	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Verticiella	
01db74a04d46dfe7359ad073bc65a7aa	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	uncultured	
018d76b4eba5f454b1ebfbc528837778	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	uncultured_bacterium
019e22426fb04cd76ba1f5ccfdd9292e	Bacteria	Bacteroidota	Bacteroidia	Cytophagales			
011454a650ee30c1ed0b5e3287f0d560	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	
018a955bc495ea25e769465a893fd822	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	
01db5505e0346244c135877cd9b0168d	Bacteria	Latescibacterota	uncultured_bacterium				
0198d9de3fc6cbb6ec3a888e5cbd52a8	Bacteria	Proteobacteria	Gammaproteobacteria				
01af2c717083cd3cba043044e450e4bd	Bacteria	Actinobacteriota	Thermoleophilia	uncultured	uncultured_bacterium		
01a959b35789088e44b4b6a7a5262471	Bacteria	Myxococcota	Myxococcia	Myxococcales	Vulgatibacteraceae	Vulgatibacter	
01dcddd750a694a2627e13381c653146	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group		
01c2a2e8a334633b7b4c3a367ff9ebc4	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Ammopiptanthus_mongolicus	
01aee0df5bdafbdc869b93df5f567fd7	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	uncultured_bacterium
01d28ad05e01c0b376112002073efef0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	uncultured_bacterium
01be7ea99cbb4937a9a49bb6446cb284	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	uncultured	
